Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled RRV Richmond,Current Quantity RRV Richmond,New Quantity RRV Richmond,Stock Alert Enabled RRV Richmond,Stock Alert Count RRV Richmond,Price RRV Richmond,Enabled TVM McHenry,Current Quantity TVM McHenry,New Quantity TVM McHenry,Stock Alert Enabled TVM McHenry,Stock Alert Count TVM McHenry,Price TVM McHenry
HZLMVLCPREI4LB4BFRP64KMR,Bluetooth Speaker Star Light Projector Starry LED Galaxy Lamp,,,"<p></p><p></p><p><b>FEATURE</b><b>S</b><b>:</b></p><p>1.DURABLE AND BABY-SAFE : Made with the safety of children in mind, sturdily constructed and provides a 100% safe playing environment.</p><p>2.STARRY SKY NIGHT LIGHT : Projects a complete starry night sky onto the walls and ceiling of any room. Transform nurseries and bedrooms into a starry sanctuary that comforts and calms kids and baby boys and girls. Three soothing color options white ,warm white,blue create magical, tranquil environments. The space at the height of 2.8m/9.18ft is more effective.</p><p>3.REMOTE OR BUTTON CONTROL: Press the button to turn on and press 1.5s to change color .Also you can use remote control. What&#39;s more ,with remote control night lamp can rotate. </p><p>4.CONVENIENT: The method of electricity supply:USB connection.</p><p>5.COLOR MODE: Night lamp has 3 colors lighting:White ,Warm White ,Blue in one lamp.</p><p>6.WITH REMOTE CONTROL STYLE:With a 1500mah lithium battery, rechargebale, portable, it can be used anywhere without connecting to a USB.</p><p><b>PARAMETER:</b></p><p>Functions:3 color lighting,bluetooth speaker,Remote control.</p><p>1. CHARGING: USB charge</p><p>2. RATED VOLTAGE: 5 V</p><p>3. POWER: 3 W</p><p>4. MATERIAL: ABS+PP</p><p>5.SIZE: </p><p>6. IllUMINATED AREA: Projection height 2.8m. Projection area 12 square meters.</p><p>7.Battery:1500mAh</p><p><b>INSTALLATION STEP:</b></p><p>1.  1.Tear flim</p><p>2.  2. Fold from smooth to rough inside</p><p>3.  3. Insert the three corresponding pieces tightly </p><p>4. 4. Plcae the lampshade at 45° 5. Fasten base to the lampshade</p><p><b>WHAT IS IN THE BOX?</b></p><p> 1*STAR NIGHT LIGHT</p><p> 1*USB WIRE</p><p> 1*INSTRUCTION MANUAL</p><p> 1*REMOTE CONTROL</p><p><strong>Note:Products need to be assembled manually(easy to finish).</strong></p>",TBDL Exclusive,TBDL Exclusive,,,,,visible,Physical good,,,,Y,N,Y,Y,76.23,,N,,N,,,,,,,,,,,,N,,,,,,Y,967,,,,
W22KWMO7HDSE3O3W6RPJ7UP4,Body & Linen Spray,"BITCH BE GONE- Rose, vanilla, geranium, pa",,"Elevate your space and senses with our versatile 4 oz mist, infused with Quartz Crystals for clarity and charm. Perfect for refreshing your body, linens, car, furniture, and even pet beds, it features a fine mist spray cap and a delightful blend of distilled water, alcohol-free witch hazel, a vegetable-based preservative, and essential and fragrance oils. Choose from fierce floral ""BITCH BE GONE,"" zesty ""SAY GOODBYE TO YOUR OVERGROWN MAN CHILD,"" sweet and sassy ""DON’T MAKE ME GO ALL JERSEY GIRL ON YOU!,"" or calming ""I DON’T RECALL ASKING FOR YOUR OPINION!"" Stay fresh, fierce, and fabulous with every spritz.",The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,Y,N,Y,Y,40.23,,N,,N,,N,#scent6dfc15d0-74c6-4114-a0fc-0785426cf3ca,"BITCH BE GONE- Rose, vanilla, geranium, pa",,,,,,,,N,,,,,,Y,5000,,,,
EOUB4DGS76Q3PDBTUYPXMS4N,Body & Linen Spray,SAY GOODBYE TO YOUR OVERGROWN MAN CHILD--C,,,The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,,,,,40.23,,N,,,,N,#scent6dfc15d0-74c6-4114-a0fc-0785426cf3ca,SAY GOODBYE TO YOUR OVERGROWN MAN CHILD--C,,,,,,,,N,,,,,,Y,5000,,,,
QK3ZXFF6XIXG7CKQC6JAGQ47,Body & Linen Spray,DON''T MAKE ME GO ALL JERSEY GIRL ON YOU! S,,,The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,,,,,40.23,,N,,,,N,#scent6dfc15d0-74c6-4114-a0fc-0785426cf3ca,DON''T MAKE ME GO ALL JERSEY GIRL ON YOU! S,,,,,,,,N,,,,,,Y,5000,,,,
QXCI2TNMQPTBV6ST5ODDMZFY,Body & Linen Spray,I DON''T RECALL ASKING FOR YOUR OPINION! --,,,The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,,,,,40.23,,N,,,,N,#scent6dfc15d0-74c6-4114-a0fc-0785426cf3ca,I DON''T RECALL ASKING FOR YOUR OPINION! --,,,,,,,,N,,,,,,Y,5000,,,,
IGQU4RAFVA4CAZ7TNLRPWFQH,Brass Singing Bowl – Meditation & Sound Healing Tool,"11cm Diameter, Polished Finish",TRTR-BSB-11CM,"This polished brass singing bowl produces rich, resonant tones perfect for meditation, energy clearing, or sound healing rituals. Hand-finished and compact, it's ideal for any sacred space or daily centering practice.",Mind & Clarity,Mind & Clarity,11cm Brass Singing Bowl – Meditation & Ritual Sound Tool,"Compact polished brass singing bowl perfect for meditation, cleansing, and sacred sound healing practices.",,,unavailable,Physical good,,,,Y,,Y,Y,199.99,,N,,N,,N,,,,,,,,,,N,,,,,,Y,10,,,,49.99
PYFBDCXPX6Z7GYBY3CPT72Y5,Burgundy ELEPHANT Pants Women Boho Pants Hippie Pants Yoga,,,"Measurements and Details:
👉Fabric: 100% Rayon
👉Elastic Waist: 26"" up to 46""
👉Hips up to: 50""
👉Total Length: 43"" (Top to Bottom)
👉 Around elastic ankle 10""
👉 One Side Pocket
-------------------------------------------
🎀 Care Instruction:
We recommend hand wash your pants and line dry. Do not soak in the water for long periods. It is natural for these vibrant patterns to have a little color come out for the first few times when you wash them. After that you will be able to mix with other clothes without any issue. You can also wash these separately in the washer on a delicate cycle. We recommend you put them in a garment bag to protect the feel and elasticity of the pants
. --------------------------------------------------------------
👖Your Harem Pants
Loose and supremely comfortable Harem Pants. They are unisex and have both an elastic waist and ankles for a flexible fit. Standard one size fits most (US size 0-16 or XS-L). Our harem pants are handmade with lightweight 100% rayon that is extremely breathable and flowy. These pants are great for exercise, yoga, taking a walk in nature or the beach, festivals, family get together, or just relaxing at your home.
-------------------------------------------------------------",The New Things,The New Things,,,,,visible,Physical good,,,,Y,,,,55.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,3,,,,
D3GPSABWABUQHARAWACG66RI,CELESTIAL MOON w/ CRYSTALS & ROSES 12oz travel tumbler,,,"Keeping your drinks cold has never been this spiritually cool. Our gorgeous, high quality CELESTIAL MOON w/ CRYSTALS & ROSES 12oz travel tumblers are designed with double wall vacuum insulation to keep your hot drinks warm for up to five hours and cold drinks cold for up to 12 hours. The durable stainless steel outside keeps condensation away, so you can use them for both hot and cold drinks without the need to ‘sweat’ over what’s on your cup. Plus, they come with an easy-to-use lid that’s straw friendly, so you can sip without the hassle of removing it each time!
handmade to order in ❤california❤",Space & Atmosphere,Space & Atmosphere,,,,,visible,Physical good,,,,Y,,Y,Y,52.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,100,,,,
PASYHRTWQENGGPAAM64TADA7,CRYSTALS & ROSES 12oz travel tumbler,,,"With this unique design you can show off your love of CRYSTALS & ROSES! This 12oz Travel Tumbler comes with a pop-on, straw compatible lid and is dishwasher safe so you can easily clean it. Each tumbler's exterior is hand printed to give a smooth finish and an excellent feel that will not fade, peel or scratch. The interior does not sweat like traditional tumblers, keeping your hands dry. It keeps cold drinks cold and hot drinks hot for hours.

handmade to order in ❤california❤",Space & Atmosphere,Space & Atmosphere,,,,,visible,Physical good,,,,Y,N,Y,Y,52.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,100,,,,
VSKXZWUAQCAHFG2TOLCG6LRF,Calm - Just Chill - Wood Roll-On Pure Essential Oils,5ml,,"<p></p><p>Pure Essential Oils diluted with fractionated organic coconut oil to make skin safe. Roll this blend on your temples or upper lip to help promote a sense of calmness. </p><p></p><p>Calm your mind with this relaxing blend as a peaceful escape from your busy day.</p><p></p><p>With tarragon, basil, sweet marjoram, lavender, and other soothing oils, the products with the <em>Just Chill</em> blend will help you melt your worries </p><p></p><p>Tarragon and basil help with relaxation; cypress and marjoram increase warmth and positive blood flow, and other ingredients help with increased calm.. </p><p></p><p>We only use the purest essential oils harvested from the industry leader in purity, Nature&#39;s Fusions.</p><p></p><p><strong>Breathe Deep, Breathe Goodness.</strong></p><p></p><p><strong>Contains: </strong>Basil (Ocimum <em>basilicum),</em> Clary Sage (<em>Salvia sclarea</em>), Cypress (<em>Cupressus sempervirens</em>), Lavender (<em>Lavandula angustifolia</em>), Mandarin (<em>Citrus reticulata</em>), Tarragon (<em>Artemisia dracunculus</em>), Marjoram (<em>Origanum marjorana</em>), Spikenard (<em>Nardostachys jatamansi</em>), Roman Chamomile (<em>Anthemis nobilis</em>), Ylang Ylang (<em>Cananga odorata</em>), Neroli (<em>Citrus aurantium amara</em>) &amp; Rose (<em>Rosa damascena</em>) pure essential oils.</p><p></p><p><strong>Caution:</strong> Citrus oils may cause topical photosensitivity. If pregnant or lactating, consult your doctor before use. For external use only. Keep out of reach of children. Avoid contact with eyes.</p><p></p><p>Never tested on animals.</p>",The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,Y,N,Y,Y,51.23,,N,,N,,N,#style54fa8404-733d-4b8b-9bc9-209fd90c4dd8,5ml,,,,,,,,N,,,,,,Y,99,,,,
LS2LZQL75IYCTV3KZEE7OUZW,Calm - Just Chill - Wood Roll-On Pure Essential Oils,10ml,,,The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,,,,,59.23,,N,,,,N,#style54fa8404-733d-4b8b-9bc9-209fd90c4dd8,10ml,,,,,,,,N,,,,,,Y,96,,,,
7M52KLR2MFOH65J6X5AGWLTR,Carnelian Bracelet Stretch Fit Handmade,Default Title,,"This stylish and stretchy piece can help increase motivation, enhance creativity, and bring stability to emotions. Enjoy the power and positivity of Carnelian on your wrist.",The New Things,The New Things,,,,,visible,Physical good,,,,Y,N,N,N,41.23,,N,,N,,N,#titleb5fa84eb-e325-4ca9-9427-879619e47ffb,Default Title,,,,,,,,N,,,,,,Y,1,,,,
YYURX5OMRGNXY5CUHORN52YG,Chakra Incense Balancing Kit,,,"This Chakra Incense Balancing Kit contains 7 individual packs of 10 incense sticks. Each pack represents one of the seven chakras and a different fragrance; Root - Strawberry, Sacral - Orange, Solar Plexus - Lemon, Heart - Mint, Throat - Blueberry, Third Eye - Lavender, Crown - Blackberry. Wooden Incense holder included. Dimensions: H22cm x W27cm x D2cm; Material: Incense",Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,Y,,Y,Y,36.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,1180,,,,
WWJIMNLUPZOE4TZ5ZSAKIS47,Chakra Singing Bowl (Crown),Default Title,,"<p>Awaken your divine connection with this stunning **10-inch Crown Chakra Singing Bowl**, tuned to elevate spiritual consciousness. Crafted from high-purity quartz and tinted in soft violet—the sacred color of Sahasrara—this bowl resonates with the frequency of **enlightenment, peace, and universal energy**</p><p><br/></p><p>🕉 What is Sahasrara?</p><p><strong>Sahasrara</strong> (Sanskrit: “Thousand-Petaled”) is the <strong>seventh and highest chakra</strong>, located at the <strong>crown of the head</strong>. It represents the <strong>gateway to pure consciousness</strong>, divine wisdom, and your connection to <strong>universal energy or Source</strong>.</p><p>When Sahasrara is open and activated, it supports:</p><ul><li><strong>Spiritual awakening</strong></li><li>A deep sense of <strong>peace and unity with all existence</strong></li><li>Inner wisdom and truth beyond ego or material identity</li><li>A feeling of <strong>being guided</strong>, supported, and “plugged into” the divine</li></ul><p>🌟 Crown Chakra Overview</p><p>Element <strong>Cosmic Energy / Thought </strong>Color <strong>Violet</strong> or <strong>White </strong>Location Top<strong> of the head </strong>Mantra <strong>“OM”</strong> (The universal sound) Frequency<strong> Note (~480 Hz) </strong>Associated Qualities <strong>Awareness, enlightenment, divine connection, transcendence</strong></p><p><br/></p><p>🧘 Signs of a Balanced Crown Chakra:</p><ul><li>You feel <strong>connected to Source</strong>, yet grounded</li><li>Heightened <strong>intuition</strong>, trust, and flow</li><li>Deep states of <strong>meditation and insight</strong></li><li>Joy, clarity, and <strong>a sense of “knowing”</strong> without fear</li></ul><p>⚠️ Signs of Imbalance or Blockage:</p><ul><li>Disconnection from purpose or spirituality</li><li>Chronic overthinking, migraines, or mental fog</li><li>Feeling unsupported by life or out of touch</li><li>Depression, apathy, or obsession with control</li></ul><p>💫 How a Singing Bowl Helps Sahasrara</p><p>Sound is sacred. When tuned to the <strong>B note</strong>, a Crown Chakra singing bowl resonates directly with your upper energetic center. This:</p><ul><li>Clears stagnant mental energy</li><li>Activates your pineal gland and intuitive insight</li><li>Promotes blissful, meditative awareness</li><li>Supports energy flow through the <strong>entire chakra system</strong></li></ul><p>🌸 Suggested Practices</p><ul><li>Play the bowl while visualizing a <strong>white or violet lotus</strong> blooming above your head</li><li>Use during full moon or new moon intention-setting</li><li>Meditate with the mantra <strong>“OM”</strong> while the tone sustains</li><li>Pair with crystals like <strong>amethyst, clear quartz, or selenite</strong> for crown alignment</li><li><br/></li></ul><p>🕊️ Use this bowl to:</p><p>- Clear mental fog or overstimulation</p><p>- Deepen meditation and mindfulness</p><p>- Feel more connected to your inner self and the universe</p><p>- Open your crown for energy flow from higher realms</p><ul><li>Affirmation: *“I am connected to divine wisdom and universal light.”*</li></ul><p>🎵 Tone:</p><p>- Tuned to the **B Note (~480 Hz)** – traditionally associated with Sahasrara Chakra</p><p><br/></p><p>🌟 Features:</p><p>- Crown Chakra (Sahasrara) alignment – for intuition, wisdom, and spiritual awakening</p><p>- Engraved with a golden **OM symbol** within the 1,000-petal lotus, honoring the divine within</p><p>- Made of **pure frosted quartz** for long-lasting, ethereal tone and clarity</p><p>- Ideal for **sound baths, Reiki, meditation, chakra balancing**, or altar enhancement</p><p><br/></p><p>📏 Size:</p><p>- **10 inches diameter**</p><p>- Color: Soft Violet</p><p><br/></p><p>📦 Includes:</p><p>- 1x Crown Chakra Singing Bowl with carrier</p><p>Some pictures are AI </p><p><br/></p><p>✅ **Price includes shipping, tax, and card processing fees.** No hidden charges!</p><p><strong> </strong></p><p><strong>Return Policy</strong></p><p>If for any reason you are not happy with your purchase, you may return the item(s) within 30 days of receiving the order. Please note that monogrammed, personalized, special-order items and items damaged through normal wear and tear are not eligible for return.</p><p><br/></p><p><br/></p><p><br/></p><p><br/></p>",Mind & Clarity,Mind & Clarity,,,,,visible,Physical good,,,,Y,N,Y,Y,399.99,,N,,N,,N,#title4939d948-1e52-44ae-9ece-905b5157ac4d,Default Title,,,,,334.24,Fuchsia Ash,,N,,,,,,Y,1,,,,
F6BU7X3GYHRNLVL4K7ORNLNB,Charles-Hubert Paris 3904-W Polished Finish Stainless Steel Double Cov,,,Stainless Steel Polished Finish Double Hunter Case; Skeleton Dial; 17 Jewels Mechanical Movement; Matching Pocket Watch Chain Included; Lifetime Warranty Against Manufacturing Defects; Premium Gift Box,The New Things,The New Things,,,,,visible,Physical good,,,,Y,,,,372.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,7,,,,
QHBZQ2OZOWSV7MMGVL3DO2SQ,Charles-Hubert- Paris  Dual Time Mechanical Pocket Watch,,,"<p></p><p>Elegant piece of Charles Hubert Pocket Watch features 51 mm diameter, raised silver colored roman numerals, blue hour, minute and second hand. Chrome Plated stainless steel case, scratch resistant crystals, 17 jewel skeletonized mechanical movement with blue screws.</p><br/><br/><ul><li>Dual time zone skeleton dial with roman numerals.<br/></li><li>51 mm open face case with a matching curb chain.<br/></li><li>Deluxe gift box.<br/></li><li>Dial color: white.<br/></li><li>Bezel Function: stationary.<br/></li><li>Movement: mechanical-hand-wind.</li></ul>",🇫🇷 Timeless Treasures,🇫🇷 Timeless Treasures,,,,,visible,Physical good,,,,Y,N,N,N,321.00,,N,,N,,N,,,,,,,,,,N,,,,,,Y,8,,,,
F7UG6EM2BVM2LRFLVR2AM4YV,Charles-Hubert- Paris  Dual Time Mechanical Pocket Watch,,,"Elegant piece of Charles Hubert Pocket Watch features 51 mm diameter, raised silver colored roman numerals, blue hour, minute and second hand. Chrome Plated stainless steel case, scratch resistant crystals, 17 jewel skeletonized mechanical movement with blue screws.

Dual time zone skeleton dial with roman numerals.
51 mm open face case with a matching curb chain.
Deluxe gift box.
Dial color: white.
Bezel Function: stationary.
Movement: mechanical-hand-wind.",The New Things,The New Things,,,,,visible,Physical good,,,,Y,,,,491.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,8,,,,
HMCJJW5U564BE25HCJ3MDZCQ,Charles-Hubert- Paris Brass Mechanical Hunter Case Pocket Watch #3804,,,"During the past decade  Charles-Hubert  Paris has established itself as a high-quality yet affordable watch manufacturer.  With both modern and classic styling to choose from as well as our unparalleled lifetime warranty against defects  Charles-Hubert  Paris is the most intelligent choice.

This pocket watch by Charles-Hubert  Paris features a skeleton dial with Roman numerals  17 Jewel mechanical movement  48mm case and presents in a deluxe gift box.",The New Things,The New Things,,,,,visible,Physical good,,,,Y,,,,177.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,8,,,,
3CRRUHTWNQ6CREROWFVMW22C,Charlie Buddy   H–µmp Oil for Dogs Cats   Hi—Ä and J–æint Supp–ært and,,,"Pin rlief: this rmedy is sure to release your pet`s pin, if your tailed friend suffrs from any kind of chrnic pins, seems to be the best anti inflammtory mediction

Deep slep: this unique product is a clming trats for cats and dogs, it provides deep slep for your pet, sothes nervs and causes relaxatin leading to slep

Enhances focus and clrity: this pet hmp oil makes an animal full of enrgy and ready for daily life activities which require focus and essential clarity

Natural hlp: omega 3, 6, 9 and vitamin e are equally important for people and their tailed friends, pets would thank you for this organic hmp oil rich in vitamins and fatty cids

Fast-acting: hmp oil for cats and dogs is sure to have the necessary effect on your pet faster than you can imagine, it will not take your buddy much time to clm down no matter what is the reason for the strss",,,,,,,visible,Physical good,,,,Y,,,,44.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,4696,,,,
QDBBJTPFWFGCGJWFZOOXZI3K,Chrysalis Tarot by Toney Brooks,,,"Discover the enchanting world of the Chrysalis Tarot, a captivating deck designed to awaken your inner wisdom and illuminate your unique path toward personal destiny. Each card is adorned with exquisitely detailed artwork, bringing to life a mesmerizing cast of Otherworld characters and mythological archetypes that serve as your guides on a profound spiritual journey.

Within the Minor Arcana, you'll encounter a delightful troupe of medieval messengers—vibrant figures infused with charm and insight—who inspire and motivate you to chase your dreams and embrace your true potential. The deck’s rich symbolism and intricate imagery provide layers of meaning, inviting both novice and seasoned tarot readers to explore new depths in their readings.

This beautifully crafted set includes 78 thoughtfully designed cards and a comprehensive 60-page guidebook that offers insightful interpretations, helping you unlock the full power of each card. The card stack measures 4 3/4"" x 2 7/8"" x 1 1/8"", making it a perfect companion for both personal reflection and professional readings.

Step into the mystical realm of the Chrysalis Tarot and let its magical energy lead you on a transformative journey of self-discovery and enlightenment.",Energy & Elements,Energy & Elements,,,,,unavailable,Physical good,,,,Y,,Y,Y,78.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,2,,,,
QSTQXN4GXFD4NPHA4F7ODEA5,Citrine Tumble Stones-Natural Crystals-High Quality Crystals,100g,,"Citrine Tumble Stones-Natural Crystals-Clarity-Healing-High Quality Crystals

======================

Price is for 100 grams
======================

Citrine is a stone as bright as its energy. Everything about this stone emanates positivity and joy. It helps to promote joy and happiness and can also assist in removing mental blocks and clearing energy. Citrine will help to bring light, abundance positivity and creativity into your life.

Polished Citrine tumbled gemstones. The pictures do not do justice to the beauty of this sunshine reflecting from the golden crystal from Brazil.

The citrine crystal never needs to be cleansed of negative energy. It transmutes it into joy.

100% authentic, original and natural Healing Crystals - small holes, crack marks on the surface or inside the stones are often visible.

==========================

Sizes: available in different sizes from 15 mm to 35mm
Weight: available in 15 gram to 30 gram pcs.

==========================



======================================================

NOTE:
This is hand-carved from natural gemstones
There will be slight variation in terms of color, texture, size etc.
Gemstones have some wonderful variations unique to each stone.
Photos are representing items from lots. color can vary from lot to lot.

=======================================================",Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,Y,,Y,Y,64.23,,N,,N,,N,#weighte39004cc-70d8-47c4-a3c4-5a1250b51c01,100g,,,,,,,,N,,,,,,Y,10,,,,
4CW76KQ2EYQMUYXVT63AVOAL,Citrine Tumble Stones-Natural Crystals-High Quality Crystals,200g,,,Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,,,,,82.23,,N,,,,N,#weighte39004cc-70d8-47c4-a3c4-5a1250b51c01,200g,,,,,,,,N,,,,,,Y,0,,,,
SRD2LP6OH35CV26AH77X4PAB,Coconut Oil Face & Body Moisturizer 4oz,Standard,SKU_591,"The Coconut Oil Face and Body Moisturizer is formulated to provide a shield against environmental aggressors, reducing premature signs of aging. With powerful natural antioxidant properties and hydration, this fast-absorbing oil will soothe, calm, and nourish skin. Use morning and night as part of your daily skincare routine or throughout the day as needed - on lightly damp skin after bathing for optimal absorption. Suitable for all skin types, our Coconut Oil Moisturizer works to relieve dryness and dehydration. Ingredients: Glycine Soja (Soybean) Oil, Olea Europaea (Olive) Fruit Oil, Fragrance, Cocos Nucifera (Coconut) Oil, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Juice (Aloe Vera), Lavandula Angustifolia (Lavender) Oil, Chamomilla Recutita (Matricaria) Flower Oil, Orbignya Oleifera (Babassu) Seed Oil.",TBDL Exclusive,TBDL Exclusive,,,,,unavailable,Physical good,,,,Y,N,N,N,40.00,,Y,,N,,Y,,,,,,,,,,N,,,,,,Y,0,,,,
ENZDPAA4GXFHMPHHPN6FMTUC,Collagen Serum 1oz,Standard,SKU_689,"Achieve a youthful glow with our Collagen Serum. Formulated with Collagen, Retinol and Hyaluronic Acid, this powerhouse of an anti-aging serum is designed to target fine lines, wrinkles, and uneven skin tone and texture. It also helps to strengthen skin with collagen, providing a boost of firmness while locking in moisture for a hydrated complexion. Suitable for all skin types, use nightly after cleansing and toning for maximum efficacy. Let this age-defying elixir work its magic and revel in the revitalized results! Ingredients: Aqua (Water), Polysorbate-20, Glycine Soja (Soybean) Oil, Hydrolyzed Collagen, Retinol, Sodium Hyaluronate, Cocos Nucifera (Coconut) Fruit Juice, Astaxanthin, Fucoxanthin, Chlorella Emersonii Extract, Phenoxyethanol, Sodium PCA, Bisabol, Tocopheryl Acetate, PEG 25 Hydrogenated Castor Oil, Fragrance.",TBDL Exclusive,TBDL Exclusive,,,,,unavailable,Physical good,0,,,Y,N,N,N,60.00,,Y,,N,,Y,,,,,,,,,,N,,,,,,Y,0,,,,
UYM65FQN2XXHBIBQUGKP4VDI,Complete Book of Tarot Spreads by Burger & Fiebig,,,"The Complete Book of Tarot Spreads by Burger & Fiebig delves into the profound world of tarot, offering a comprehensive guide to interpretation. Tarot, beyond its visual appeal, serves as a gateway to self-discovery, a cosmic puzzle, and an intricate work of art that unlocks the depths of human intuition. Engaging with tarot not only enhances intuitive abilities but also provides an enjoyable and reflective experience that resonates on both personal and universal levels.

In this imaginative guide, two esteemed authors in the tarot field, Burger and Fiebig, collaborate to demystify the art of tarot reading. They meticulously explore 122 diverse card layouts, each accompanied by clear, step-by-step instructions on when and how to apply them. Whether you’re a novice eager to grasp the basics or an experienced reader seeking to deepen your practice, this book offers invaluable insights.

Readers will learn foundational techniques, such as reading personality and year cards with a personalized approach tailored to individual interests. The guide also delves into the complex dynamics of larger spreads and interconnected card networks, empowering readers to weave intricate narratives from the cards.

This rich compendium covers a broad spectrum of methodologies. It includes the “Cycle of the Year” with 20 major layouts that align with seasonal shifts, an exploration of the profound connections between tarot and astrology, and an in-depth examination of the influential Golden Dawn System as developed by Arthur A. Waite and Aleister Crowley.

With its diverse range of approaches and practical tools, this tarot guide serves as an indispensable resource for anyone seeking to uncover insights, navigate life’s challenges, and find answers to the most pressing questions of existence.",Energy & Elements,Energy & Elements,,,,,unavailable,Physical good,,,,Y,,Y,Y,61.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,9,,,,
KBVZGWL5LHJ2LNVPBL233PSG,Crown Chakra Incense Sticks,,,This pack of incense contains 30 incense sticks in a blackberry fragrance. The incense represents the Crown Chakra which is linked to intelligence. The pack comes with a wooden ash catcher showing the Crown Chakra symbol. Dimensions: H28cm x W4cm x D4cm; Material: Incense,Space & Atmosphere,Space & Atmosphere,,,,,visible,Physical good,,,,Y,,Y,Y,25.23,,N,,N,,N,,,,,,,,,,N,,,,,,Y,131,,,,
ZJ3GMVSNTDM6SXUFW7K276CO,Crown Chakra Singing Bowl,Default Title,,"The Crown Chakra is your connection to the Divine. A Healthy Crown Chakra will bring you guidance and inspiration. Life Force from a greater power will flow through your system and energize all of your chakras. The Crown governs mental issues, the nervous system, migraines, the brain, skin, and amnesia",,,,,,,visible,Physical good,,,,Y,,,,678.23,,N,,N,,N,#title3a4cb882-1a2c-4b17-bf1f-7f6eb8654514,Default Title,,,,,,,,N,,,,,,Y,1,,,,
T3N5F5VFORQHXYZLQORDDGQI,Crystal Quartz Points,Crystal Quartz points,,"A Crystal Quartz point will help you manifest your intentions for wealth, abundance and prosperity. Also a great stone to cleanse other crystals, just place your other stones on top of this crystal quartz point for charging. Each stone is approximately 5"" long and 1 1/2"" thick. (This is not a set, it is for one (1) crystal point)",Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,Y,,Y,Y,34.23,,N,,N,,N,#titleedd7c91c-2ecb-44d1-8b11-569b5d4081ad,Crystal Quartz points,,,,,,,,N,,,,,,Y,2,,,,
