Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled RRV Richmond,Current Quantity RRV Richmond,New Quantity RRV Richmond,Stock Alert Enabled RRV Richmond,Stock Alert Count RRV Richmond,Price RRV Richmond,Enabled TBDL Richmond,Current Quantity TBDL Richmond,New Quantity TBDL Richmond,Stock Alert Enabled TBDL Richmond,Stock Alert Count TBDL Richmond,Price TBDL Richmond,Enabled TVM McHenry,Current Quantity TVM McHenry,New Quantity TVM McHenry,Stock Alert Enabled TVM McHenry,Stock Alert Count TVM McHenry,Price TVM McHenry,Enabled TVM Richmond,Current Quantity TVM Richmond,New Quantity TVM Richmond,Stock Alert Enabled TVM Richmond,Stock Alert Count TVM Richmond,Price TVM Richmond
AEVW4WR4ZGKAQZJANPQONCZV,Faith T-shirt,"L, Heather Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Blue,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
OYT4ZCIATPN2WWNAIEUCPRR7,Faith T-shirt,"L, Heather Lilac",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Lilac,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
NLNVY3B72AA4BWQSTTYDRXAO,Faith T-shirt,"L, Mauve",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Mauve,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
CFQEIANRYVOXJCETF2LKD7RT,Faith T-shirt,"L, Heather Mint",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Mint,,,,,,N,,,,,,N,,,,,,N,996,,,,,Y,,,,,
6TNMDBD3EHHMRA7EMVW6JBAS,Faith T-shirt,"L, Heather Peach",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Peach,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
YZ2AUBYNLCUIVCEG7VXVTPRI,Faith T-shirt,"L, Heather Raspberry",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Raspberry,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
NEKAFPR7UCXBJKIQK7BHHV7V,Faith T-shirt,"L, Heather Sunset",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Sunset,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
POUMVV3M7CZUGZHICHJZTEQI,Faith T-shirt,"L, Heather Gray",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Gray,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
4NFYQW73Y5T4DWORW5NJXD66,Faith T-shirt,"L, Light Pink",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Light Pink,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
GSABXYU5T6IJUMF5IKK2I2AO,Faith T-shirt,"L, Heather Ice Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Ice Blue,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
RCW3WTE4FMQ7EHTWME5MMANT,Faith T-shirt,"L, Heather Dusty Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,L,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Dusty Blue,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
ZNLE66XBBAWAUXX3IQU33VB6,Faith T-shirt,"XL, White",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,White,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
UMDC5YSKJKH5X4A3KANUJN22,Faith T-shirt,"XL, Heather Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Blue,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
ZJSRNFA6PTRGFAHB2CCNPG6J,Faith T-shirt,"XL, Heather Lilac",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Lilac,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
XNJ3KH25JA7TAHASXPBDUGLP,Faith T-shirt,"XL, Mauve",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Mauve,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
LNN7RGCAWTU6FERC3PSYPVFF,Faith T-shirt,"XL, Heather Mint",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Mint,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
HW6JEQROAJZRIHAWULAUUKAZ,Faith T-shirt,"XL, Heather Peach",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Peach,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
PP7CT2BQIYRJZCG5S3KCO7BD,Faith T-shirt,"XL, Heather Raspberry",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Raspberry,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
GHR5QJNGG2MFXQR3WJIY4EEF,Faith T-shirt,"XL, Heather Sunset",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Sunset,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
6VEOJTDOLF47WGRV5FCBUVV4,Faith T-shirt,"XL, Heather Gray",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Gray,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
NLOZL244FFFF3FSQ3XD3K4BI,Faith T-shirt,"XL, Light Pink",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Light Pink,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
H23LXLFDQ34XU6PCFGDSQ3GM,Faith T-shirt,"XL, Heather Ice Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Ice Blue,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
7GI3HCENU4YK7KVE5IXEVQOH,Faith T-shirt,"XL, Heather Dusty Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,31.10,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Dusty Blue,,,,,,N,,,,,,N,,,,,,N,997,,,,,Y,,,,,
R7B7DEBLQBLEOBB4YGTBZZG3,Faith T-shirt,"3XL, White",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,White,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
SYI22YD5U4KGD55VBIFKC742,Faith T-shirt,"3XL, Heather Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Blue,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
DI62CV7MQQZKZRCQ4TCBKZHL,Faith T-shirt,"3XL, Heather Lilac",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Lilac,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
4TMWDU2DFUYSQUNXMJCZX6N6,Faith T-shirt,"3XL, Mauve",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Mauve,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
LAVDQQFU3PVO54DZXVKDEOWB,Faith T-shirt,"3XL, Heather Mint",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Mint,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
SOWWGV4564CPL7F4JE2DPS63,Faith T-shirt,"3XL, Heather Peach",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Peach,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
NQOJZA7DYE7SPCRY4C745YYY,Faith T-shirt,"3XL, Heather Raspberry",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Raspberry,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
JNZV5SDOBPV6NP4VPYHXC6O2,Faith T-shirt,"3XL, Heather Sunset",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Sunset,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
BG2XTPKZOJWLQLRYR64TDYPI,Faith T-shirt,"3XL, Heather Gray",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Gray,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
UFG6DP73JWZJ7QGF6WUQ7ZJB,Faith T-shirt,"3XL, Light Pink",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Light Pink,,,,,,N,,,,,,N,,,,,,N,999,,,,,Y,,,,,
7JBLPQ75A5KUKSBPVQ7NK5JR,Faith T-shirt,"3XL, Heather Ice Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Ice Blue,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
QQ3B4E3SR5ULIXUTYCTNW5XQ,Faith T-shirt,"3XL, Heather Dusty Blue",,,Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,,,,,37.79,,N,,,,N,#size13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,3XL,#primary-colour13a1ffc8-c0cc-4544-91bb-01d7741b7c4e,Heather Dusty Blue,,,,,,N,,,,,,N,,,,,,N,1000,,,,,Y,,,,,
ILHOFJQ3NHTI6FENS3F3P5IS,Felicity Tabletop Meditation Fountain With Led Light,1,,"<p>Introducing the Felicity Tabletop Meditation Fountain, an exquisite addition to your home or workspace designed to evoke a sense of tranquility and promote mindfulness in your daily routine. This elegant piece of décor seamlessly integrates into any environment, whether placed on a kitchen counter, living room table, bathroom sink, shelf, vanity, or office desk.
<br>

<br>
The soothing sound of running water emanating from the Felicity Fountain creates a serene atmosphere that encourages relaxation and contemplation. As you prepare for sleep, the soft glow of its LED light transforms your space into a sanctuary, gently lulling you into a restful night.
<br>

<br>
This versatile fountain is not only perfect for bedtime but also serves as a calming companion during meditation, yoga sessions, or a busy day at work. By centring your mind and fostering focus, the Felicity Fountain enhances your overall well-being.
<br>

<br>
PRODUCT FEATURES INCLUDE:
<br>
- Resin Felicity Tabletop Meditation Fountain
<br>
- Fountain base for stability
<br>
- Essential water pump for smooth operation
<br>
- LED light for ambient illumination
<br>
- Decorative stones to enhance aesthetic appeal
<br>
- 6' Power Cord with AC Wall Adapter, compliant with US and Canadian UL standards
<br>

<br>
Embrace a peaceful and balanced lifestyle with the Felicity Tabletop Meditation Fountain, your personal oasis that transforms any space into a calming retreat.</p>",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,88.23,,N,,,,N,#pack-of1c0322bd-9524-47e5-9ae7-c4f5481f8ffe,1,,,,,,,,N,,,,,,N,,,,,,Y,9,,,,,N,,,,,
RIT2YWJYF4SIBTYHA3Y65LVJ,Fields of Provence Organic Essential Oil Disinfectant Spray,2oz,,"<p></p><h1>Fields of Provence Organic Essential Oil Disinfectant Spray is a versatile product that offers multiple uses. It’s an excellent way to incorporate natural cleaning products and aromatherapy into your home and daily routine. Fields of Provence is particularly recommended as a pillow spray to promote better sleep.</h1><p><br/></p><p>This spray can be used to disinfect various surfaces, including couches, rugs, curtains, and decorative textiles. It leaves a pleasant aroma in your space while effectively cleaning.</p><p><br/></p><p>Before class, spritz the spray on your mat to create a slip-free surface. After a workout, it’s a great way to clean up and freshen up. Additionally, it can be beneficial for skin health, helping to prevent staff infections for those who practice martial arts.</p><p><br/></p><p>The aroma of the spray is a delightful blend of floral, herbal, relaxing, and grounding notes.</p><p><br/></p><p>Ingredients: 100% Natural Essential Oils, Witch Hazel, and Water.</p><p><br/></p><p>Made in Brooklyn</p><p><br/></p><p> </p>",,,,,,,visible,Physical good,,,,Y,,,,39.23,,N,,N,,N,#sizebbc102ad-f020-43fc-bafd-56dfe4fe3f50,2oz,,,,,,,,N,,,,,,N,,,,,,Y,97,,,,,N,,,,,
MEYK7FL5X4F3XCR6H2YDYZDL,Fields of Provence Organic Essential Oil Disinfectant Spray,4oz,,,,,,,,,visible,Physical good,,,,,,,,41.23,,N,,,,N,#sizebbc102ad-f020-43fc-bafd-56dfe4fe3f50,4oz,,,,,,,,N,,,,,,N,,,,,,Y,97,,,,,N,,,,,
LNS3YYKDTHFNB5CKPZYPJYR4,Flower of Life Laser Engraved Selenite Plates,HEXAGON,,"The Flower of Life is laser engraved onto these polished selenite plates, available in hexagon or round. Selenite plates are great for charging your crystals and resetting their energies. 

Do not submerge in water, as selenite could disintegrate. Wipe clean with a damp cloth.

Diameter 6"" x .75-1"" thick

Made in Morocco",,,,,,,visible,Physical good,,,,Y,,,,57.23,,N,,N,,N,#style01d9376f-c952-4022-b985-e1cd260a72ec,HEXAGON,,,,,,,,N,,,,,,N,,,,,,Y,23,,,,,N,,,,,
3G3EDRF2C7P574NAL7EYF6LY,Flower of Life Laser Engraved Selenite Plates,ROUND,,,,,,,,,visible,Physical good,,,,,,,,57.23,,N,,,,N,#style01d9376f-c952-4022-b985-e1cd260a72ec,ROUND,,,,,,,,N,,,,,,N,,,,,,Y,39,,,,,N,,,,,
NJKDNVA6LRUXIL2YZQYNTMQH,Fluorite Crystal Gemstone Point,,,"<p></p><p>This hand cut and polished Fluorite crystal point can help eliminate negative energy around you and accumulation in the body. This effective energy tool can help increase your intuitive abilities, connecting with Spirit and your higher being. This stone should be cleansed often by allowing it to sit in the moonlight (best is during a full moon) or soak up sunlight during the day. </p><p>Height approx 3.5-5.0&#34;</p><p><em>Crystals you purchase may have some slight variances from the </em><em>stock photo pictured.   </em></p>",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,55.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,11,,,,,N,,,,,
UUGDLEKBPZORHP6HUKXYOKH3,Focus Aromatherapy Mood Scent,,,"<p></p><p>Introducing Focus Mood Scent – Your Gateway to Enhanced Productivity and Creative Flow.</p><p><br/></p><p>Crafted with care, Focus Mood Scent is designed to refresh your senses and elevate your mental clarity. Our thoughtfully blended therapeutic scents not only hydrate the atmosphere but also invigorate your mind, helping you achieve peak concentration, improve memory, and extend your attention span.</p><p><br/></p><p>Key Aromatic Notes:</p><p>Mind-Enhancing Base: A bright, refreshing fusion of rosemary, sage, and spearmint stimulates cognitive functions, sharpening your focus.</p><p>Mood Uplifters: The zesty citrus burst from grapefruit, lemon, and orange energizes your spirit, promoting creativity and a positive mindset.</p><p>Grounding Elements: Earthy undertones of frankincense, cypress, and sage provide calming, stress-relieving benefits, anchoring you in the present moment.</p><p><br/></p><p>Sensory Experience:</p><p>Smells Like: Minty, spicy, and earthy notes intertwine.</p><p>Feels Like: Entering a creative state where ideas flow effortlessly and time seems to fly.</p><p><br/></p><p>Focus Ritual:</p><p>When productivity calls, shake well to activate the essential oils.</p><p>Mist gently over your face, body, or around your workspace to create an environment primed for focus.</p><p><br/></p><p>Botanical Scents: Basil, Cypress, Eucalyptus, Frankincense, Grapefruit, Lavender, Lemon, Orange, Peppermint, Rosemary, Sage, Spearmint.</p><p><br/></p><p>Other Ingredients: Purified Water, Witch Hazel – for a hydrating and refreshing mist.</p><p><br/></p><p>Volume: 3.3 fl oz.</p><p><br/></p><p>Hydrate your space, invigorate your mind, and dive into your most productive self with Focus Mood Scent.</p><p><strong></strong></p>",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,75.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,999,,,,,N,,,,,
GZZBYQJEFPPO33GVZ4EF3TPD,Glass jar soy wax candle,,681FF82E9030C_16270,"With its sleek glass jar, this candle functions as stylish home decor. Light it up and watch how its soft glow brings the room to life!


• Soy wax

• Cotton wick

• 3.76″ × 3.13″  (95 × 79 mm) glass vessel

• Product weight: 1.2 lbs (570 g)

• Unscented, has a pleasant natural aroma

• Blank product sourced from Latvia",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,N,N,N,22.50,,N,,N,,N,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,
AHGFTQRN6KOT4EUH5U23AG4Z,Glycolic Acid Anti-Aging + Exfoliator Serum 1oz,Standard,SKU_452,"The powerful Glycolic Acid Serum, a fast working and gentle exfoliant that effectively evens and smoothens your complexion while infusing your skin with nourishing hydration. Vitamin E provides potent antioxidant protection to shield your skin from environmental damage while Squalane locks in moisture for long-lasting comfort. Ideal for all skin types, this multi-tasking serum helps tackle dryness, dehydration, texture issues, fine lines, and dull skin concerns with regular use twice daily. Use after cleansing and toning steps as part of your AM/PM skincare routine before moisturizer application to achieve optimal results. Ingredients: Aqua (Water), Polysorbate-20, Glycerin, Glycolic Acid, Aloe Barbadensis Leaf Juice, Sodium Hylauronate, Citrus Limon (Lemon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Saccharum Officinarum Extract, Phospholipids, Acetyl Hexapeptide-8, Glycine Soja (Soybean) Oil, Potassium Sorbate, Lecithin, Benzyl Alcohol, Tocopheryl Acetate, Tocopherol, Coenzyme Q10, Isopropyl Palmitate, Steardimonium Hydroxypropyl Panthenyl Peg-7 Dimethicone Phosphate Chloride, Ascorbyl Palmitate, PEG-40 Hydrogenated Castor Oil, Squalane, Phytic Acid, Acetic Acid, Phenoxyethanol, Salicylic Acid, Fragrance.",,,,,,,unavailable,Physical good,,,,Y,,,,60.00,,Y,,N,,Y,,,,,,,,,,Y,,,,,,Y,0,,,,,Y,0,,,,,Y,,,,,
E4N6Q2Y2CAP4NNGNN6ONB6QK,HAWSER 10 MM Rope Chain | 970861,"18"" Silver",,<p></p><p><strong>HAWSER</strong> is ancient for thick rope used in moving ships.  Our chain produced by Bling Master is second to none in moving conversations from something to itself since it is inundated with highest grade rhinestone crystals.  Wear it with joy and confidence. </p><p></p><p></p>Bling Master brand<p></p>Base Alloy Metal<p></p>Rhinestone crystal studded<p></p>Glue set<p></p>10 MM thick<p></p>18 inch to 24 inch lengths available<p></p>35 to 60 gram in weight<p></p>Individually poly bag wrapped<p></p>Made in China<p></p>,TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,N,N,N,56.86,,N,,N,,N,#size71376816-d15b-40c2-877a-9fb2d1f8eebe,"18"" Silver",,,,,,,,Y,,,,,,Y,,,,,,Y,100,,,,,Y,,,,,
YSPLVWXIAXUDV4QS75NAVTJN,HAWSER 10 MM Rope Chain | 970861,"20"" Silver",,,TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,,,,,59.09,,N,,,,N,#size71376816-d15b-40c2-877a-9fb2d1f8eebe,"20"" Silver",,,,,,,,Y,,,,,,Y,,,,,,Y,100,,,,,Y,,,,,
QNVHMOLDADGTHDN5XWYAWX2J,HAWSER 10 MM Rope Chain | 970861,"24"" Silver",,,TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,,,,,65.78,,N,,,,N,#size71376816-d15b-40c2-877a-9fb2d1f8eebe,"24"" Silver",,,,,,,,Y,,,,,,Y,,,,,,Y,100,,,,,Y,,,,,
345TLNS4XQLSALXQRP3HDRZG,HAWSER 10 MM Rope Chain | 970861,"22"" Silver",,,TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,,,,,61.32,,N,,,,N,#size71376816-d15b-40c2-877a-9fb2d1f8eebe,"22"" Silver",,,,,,,,Y,,,,,,Y,,,,,,Y,100,,,,,Y,,,,,
3ZKK2NCOBNRKD6Y4VUIGWK5H,Handmade Nepal Tibetan Buddhist Brass Singing Bowl,,,"It is made out of brass. It produces a rich, deep tone when played. The sounds singing bowls produce to create a kind of energy medicine that is used to fix the broken frequencies of the body, mind, and soul. It provides the miraculous ability to bring the listener to peace and calmness. It is widely known to use for meditation, music, and chakra cleansing.
The size is 6"" diameter x 3"" depth and 7"" length x 1"" diameter wood stick.",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,82.51,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,13,,,,,N,,,,,
